census_year,clue_small_area,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total
2019,Port Melbourne,21,27,1,13,68,10,10,7,7,26,87,0,18,74,18,20,30,28,63,528,0.0
2019,South Yarra,11,0,0,3,0,10,3,0,0,1,1,0,5,0,0,0,4,0,0,38,0.0
2019,Southbank,178,26,3,49,34,18,25,24,30,16,14,3,31,92,9,29,211,10,17,819,1194.0
2019,West Melbourne (Industrial),6,0,0,12,7,0,9,0,0,2,7,0,5,6,1,2,3,64,32,156,
2019,West Melbourne (Residential),62,14,0,19,13,23,10,11,26,9,8,0,53,101,5,10,43,16,24,447,1934.0
2020,Carlton,354,21,0,55,13,108,18,32,130,15,23,0,128,136,14,23,119,5,14,1208,539.0
2020,City of Melbourne (total),3058,501,16,624,344,631,196,842,1041,226,433,32,1460,2421,294,426,1877,284,340,15046,
2020,Docklands,265,28,2,56,21,22,12,45,36,27,18,1,70,150,16,63,182,33,17,1064,1450.0
2020,East Melbourne,86,14,0,52,4,25,8,17,335,6,5,1,76,95,30,8,19,4,7,792,0.0
2020,Kensington,62,12,2,116,25,10,12,2,31,12,49,0,51,38,5,15,34,18,31,525,
2020,Melbourne (CBD),1507,267,5,104,107,288,46,532,324,63,162,22,755,1355,145,190,1029,72,84,7057,4598.0
2020,Melbourne (Remainder),59,12,0,46,10,10,3,23,72,1,5,0,21,31,5,14,20,9,7,348,
2020,North Melbourne,187,39,1,66,25,38,28,19,141,23,33,0,161,154,12,22,111,23,45,1128,196.0
2020,Parkville,77,3,0,41,0,67,7,6,31,2,2,0,19,16,4,2,15,2,1,295,
2020,Port Melbourne,21,26,1,13,66,10,10,7,7,25,87,0,18,69,18,18,26,35,61,518,0.0
2020,South Yarra,12,1,0,6,0,12,6,0,1,2,1,0,7,0,1,0,3,0,0,52,26.0
2020,Southbank,244,30,3,58,36,17,26,33,29,20,14,2,37,111,10,32,228,12,17,959,6502.0
2020,West Melbourne (Industrial),2,1,0,4,2,0,3,0,0,2,3,0,1,4,1,1,1,31,27,83,0.0
2020,West Melbourne (Residential),66,12,0,21,10,21,11,9,25,9,9,0,47,106,8,8,38,15,27,442,54.0
2021,Carlton,288,17,0,44,12,89,14,24,89,13,14,0,109,111,11,18,104,4,11,972,274.0
2021,City of Melbourne (total),2975,460,12,621,314,622,196,812,1021,218,411,27,1427,2298,281,404,1839,260,315,14513,
2021,Docklands,103,10,1,34,4,9,6,16,20,8,10,0,26,56,7,21,53,12,4,400,828.0
2021,East Melbourne,83,8,0,41,4,13,7,13,301,5,3,1,53,63,23,9,20,4,4,655,
2021,Kensington,40,3,1,75,18,4,10,0,16,6,23,0,20,16,2,7,22,3,19,285,0.0
2021,Melbourne (CBD),1487,294,5,139,113,263,54,621,334,84,188,23,821,1430,161,213,883,54,93,7260,8046.0
2021,Melbourne (Remainder),46,11,0,50,12,7,4,28,54,2,4,0,22,26,4,7,14,8,6,305,
2021,North Melbourne,123,28,1,42,24,29,21,14,85,15,29,0,114,122,6,15,72,20,31,791,110.0
2021,Parkville,59,3,0,11,0,65,2,6,63,0,1,0,16,15,3,2,12,2,1,261,22.0
2021,Port Melbourne,25,36,1,16,99,12,16,8,9,32,119,0,21,92,24,28,37,39,78,692,0.0
2021,South Yarra,11,1,0,5,0,11,6,0,1,1,1,0,5,0,0,0,4,0,0,46,40.0
2021,Southbank,233,24,2,63,25,17,27,29,29,20,14,1,38,99,10,28,217,13,14,903,742.0
2021,West Melbourne (Industrial),2,0,0,4,4,0,4,0,0,1,2,0,3,5,1,1,2,16,22,67,
2021,West Melbourne (Residential),51,7,0,17,7,13,7,7,19,7,7,0,32,73,5,7,31,12,19,321,800.0
2022,Carlton,205,9,0,37,9,51,9,16,71,9,16,0,74,74,5,9,71,1,9,675,1065.0
2022,City of Melbourne (total),2830,393,12,611,308,598,205,747,991,204,414,30,1326,2156,285,381,1793,247,298,13829,
2022,Docklands,260,20,1,58,15,21,15,45,35,29,16,2,62,155,21,55,148,31,15,1004,344.0
2022,East Melbourne,60,4,0,40,5,10,7,13,211,5,2,1,45,40,22,6,12,4,2,489,0.0
2022,Kensington,51,6,1,75,22,9,7,1,19,5,27,0,39,32,5,14,27,11,28,379,146.0
2022,Melbourne (CBD),1969,305,4,167,136,358,79,679,410,100,291,27,986,1785,225,237,1415,84,116,9373,724.0
2022,Melbourne (Remainder),55,8,0,49,9,10,3,21,60,1,4,0,21,27,4,7,18,7,5,309,
2022,North Melbourne,182,29,4,51,25,39,20,14,101,16,40,0,153,131,10,21,101,20,39,996,16.0
2022,Parkville,74,4,0,45,0,74,7,7,88,2,4,0,21,27,5,2,14,5,2,381,
2022,Port Melbourne,17,21,1,12,61,9,10,5,6,23,78,0,15,64,17,18,25,31,49,462,0.0
2022,South Yarra,11,1,0,6,0,19,7,0,1,1,1,0,8,0,2,0,4,0,0,61,
2022,Southbank,220,24,2,56,24,16,26,29,28,17,14,1,36,95,9,26,217,11,14,865,1994.0
2022,West Melbourne (Industrial),3,2,0,10,8,0,9,0,0,4,5,0,5,4,1,2,7,58,30,148,
2022,West Melbourne (Residential),37,7,0,16,5,14,4,4,13,6,7,1,24,45,4,5,17,3,9,221,704.0
